course_a,course_b,path_a,path_b,similarity,distance
73149,90157,data/courses/.files/2025/course-73149.yml,data/courses/.files/2025/course-90157.yml,0.50355064,0.49644936
03716,77933,data/courses/.files/2025/course-03716.yml,data/courses/.files/2025/course-77933.yml,0.50355056,0.49644944
B0010,B8929,data/courses/.files/2025/course-B0010.yml,data/courses/.files/2025/course-B8929.yml,0.50354554,0.49645446
69259,B5079,data/courses/.files/2025/course-69259.yml,data/courses/.files/2025/course-B5079.yml,0.50354526,0.49645474
28106,B5812,data/courses/.files/2025/course-28106.yml,data/courses/.files/2025/course-B5812.yml,0.50354080,0.49645920
09679,B8603,data/courses/.files/2025/course-09679.yml,data/courses/.files/2025/course-B8603.yml,0.50353576,0.49646424
90477,98671,data/courses/.files/2025/course-90477.yml,data/courses/.files/2025/course-98671.yml,0.50353142,0.49646858
29227-A,79194,data/courses/.files/2025/course-29227-A.yml,data/courses/.files/2025/course-79194.yml,0.50352075,0.49647925
28012,96142,data/courses/.files/2025/course-28012.yml,data/courses/.files/2025/course-96142.yml,0.50352046,0.49647954
69661,95602,data/courses/.files/2025/course-69661.yml,data/courses/.files/2025/course-95602.yml,0.50351935,0.49648065
90074,91267,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-91267.yml,0.50351322,0.49648678
16870,73273,data/courses/.files/2025/course-16870.yml,data/courses/.files/2025/course-73273.yml,0.50350915,0.49649085
91264,96143,data/courses/.files/2025/course-91264.yml,data/courses/.files/2025/course-96143.yml,0.50350820,0.49649180
91721,95605,data/courses/.files/2025/course-91721.yml,data/courses/.files/2025/course-95605.yml,0.50350804,0.49649196
B5026,B5722,data/courses/.files/2025/course-B5026.yml,data/courses/.files/2025/course-B5722.yml,0.50350798,0.49649202
93315,B0832,data/courses/.files/2025/course-93315.yml,data/courses/.files/2025/course-B0832.yml,0.50350770,0.49649230
28011-A,85446,data/courses/.files/2025/course-28011-A.yml,data/courses/.files/2025/course-85446.yml,0.50350632,0.49649368
11929-A,69661,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-69661.yml,0.50350255,0.49649745
93468,93470-A,data/courses/.files/2025/course-93468.yml,data/courses/.files/2025/course-93470-A.yml,0.50349699,0.49650301
81678,94442,data/courses/.files/2025/course-81678.yml,data/courses/.files/2025/course-94442.yml,0.50349206,0.49650794
28659,B8019,data/courses/.files/2025/course-28659.yml,data/courses/.files/2025/course-B8019.yml,0.50347901,0.49652099
81612,95631-A,data/courses/.files/2025/course-81612.yml,data/courses/.files/2025/course-95631-A.yml,0.50347404,0.49652596
95646,97466,data/courses/.files/2025/course-95646.yml,data/courses/.files/2025/course-97466.yml,0.50347361,0.49652639
B8536,B8562,data/courses/.files/2025/course-B8536.yml,data/courses/.files/2025/course-B8562.yml,0.50347039,0.49652961
95646,B5026,data/courses/.files/2025/course-95646.yml,data/courses/.files/2025/course-B5026.yml,0.50346532,0.49653468
29227-B,70226,data/courses/.files/2025/course-29227-B.yml,data/courses/.files/2025/course-70226.yml,0.50346114,0.49653886
91269,98671,data/courses/.files/2025/course-91269.yml,data/courses/.files/2025/course-98671.yml,0.50344472,0.49655528
96142,B5782,data/courses/.files/2025/course-96142.yml,data/courses/.files/2025/course-B5782.yml,0.50344229,0.49655771
28011,66858,data/courses/.files/2025/course-28011.yml,data/courses/.files/2025/course-66858.yml,0.50342461,0.49657539
40720,B0832,data/courses/.files/2025/course-40720.yml,data/courses/.files/2025/course-B0832.yml,0.50342222,0.49657778
11929-B,37085,data/courses/.files/2025/course-11929-B.yml,data/courses/.files/2025/course-37085.yml,0.50341180,0.49658820
65094,66858,data/courses/.files/2025/course-65094.yml,data/courses/.files/2025/course-66858.yml,0.50340049,0.49659951
88145,96859,data/courses/.files/2025/course-88145.yml,data/courses/.files/2025/course-96859.yml,0.50339769,0.49660231
00819-B,B2133,data/courses/.files/2025/course-00819-B.yml,data/courses/.files/2025/course-B2133.yml,0.50339367,0.49660633
